Brands,Familys,Years,Models,TechInfos,Equipments
Ford,Fiesta,2016,Fiesta TITANIUM 1.6 16V Flex Mec.,"FIPE 06/23:R$ 55.264,00;Ano:2016;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Geração:6;Lugares:5;Plataforma:B-Car;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Série:WT;Aceleração 0-100 km/h:12,1 s;Velocidade máxima:190 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada unitária:399 cm³;Cilindros:4 em linha;Código do motor:Sigma;Comando de válvulas:Duplo no cabeçote;Curso do pistão:81,4 mm;Deslocamento:1597 cm³;Diâmetro do cilindro:79 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:8,66 kg/cv;Peso/torque:70,4 kg/kgfm;Potência específica:81,4 cv/litro;Potência máxima (A):130 cv;Potência máxima (G):125 cv;Razão de compressão:12:1;Regime potência máx.:6500 rpm;Regime torque máx.:5000 rpm;Torque específico:10,0 kgfm/litro;Torque máximo (A):16 kgfm;Torque máximo (G):15,4 kgfm;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:IB5;Marchas:5;Tração:Dianteira;Altura:1464 mm;Carga útil:429 kg;Comprimento:3969 mm;Distância entre-eixos:2489 mm;Largura:1787 mm;Peso:1126 kg;Porta-malas:281 litros;Tanque de combustível:51 litros;Altura do flanco:98 mm;Dianteiros:195/50 R16;Traseiros:195/50 R16;Área frontal (A):2,22 m²;Área frontal corrigida:0,733 m²;Coef. de arrasto (Cx):0,33;Assistência:Elétrica;Diâmetro de giro:10,1 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):510 km;Rodoviária (G):729 km;Urbana (A):408 km;Urbana (G):612 km;Rodoviário (A):10 km/l;Rodoviário (G):14,3 km/l;Urbano (A):8 km/l;Urbano (G):12 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Ar quente;Ar-condicionado;Ar-condicionado automático;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Bancos revestidos em couro;Cintos de segurança com ajuste de altura;Comando interno da tampa do tanque;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Faróis com acendimento automático;Limpador de para-brisa automático;Luz no porta-malas;Retrovisor interno fotocrômico;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Assistente de partida em rampa;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Faróis com refletores duplos;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Repetidores laterais das luzes de direção;Sensores de estacionamento traseiro;Travamento central das portas
Honda,Civic,2014,Civic Sedan LXR 2.0 Flexone 16V Aut. 4p,"FIPE 06/23:R$ 67.561,00;Ano:2014;Combustível:Flex;Configuração:Sedã;Garantia:3 anos;Geração:9;Lugares:5;Portas:4;Porte:Médio;Procedência:Nacional;Propulsão:Combustão;Série:FB;Aceleração 0-100 km/h:10,9 s;Velocidade máxima:190 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1997 cm³;Cilindros:4 em linha;Código do motor:R20Z1;Comando de válvulas:Único no cabeçote;Curso do pistão:96,9 mm;Diâmetro do cilindro:81 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:8,3 kg/cv;Peso/torque:66,4 kg/kgfm;Potência específica:77,6 cv/litro;Potência máxima:155 cv (A) 150 cv (G) a 6300 rpm;Potência máxima (A):155 cv;Potência máxima (G):150 cv;Razão de compressão:10,6:1;Rotação potência máx.:6300 rpm;Rotação torque máx.:4800 rpm;Torque específico:9,8 kgfm/litro;Torque máximo:19,5 kgfm (A) 19,3 kgfm (G) a 4800 rpm;Torque máximo (A):19,5 kgfm;Torque máximo (G):19,3 kgfm;Tuchos:Mecânicos;Válvulas por cilindro:4;Variação do comando:Admissão;Acoplamento:Conversor de torque;Câmbio:Automático;Marchas:5;Quantidade de marchas:5;Tração:Dianteira;Altura:1450 mm;Carga útil:414 kg;Comprimento:4525 mm;Distância entre-eixos:2668 mm;Largura:1755 mm;Peso:1294 kg;Porta-malas:449 litros;Tanque de combustível:57 litros;Altura do flanco:113 mm;Dianteiros:205/55 R16;Traseiros:205/55 R16;Área frontal (A):2,16 m²;Área frontal corrigida:0,605 m²;Coef. de arrasto (Cx):0,28;Coeficiente de arrasto (Cx):0,28;Assistência:Elétrica;Diâmetro de giro:10,6 m;Diâmetro mínimo de giro:10,6 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., braços sobrepostos;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (A):536 km;Rodoviária (G):730 km;Urbana (A):371 km;Urbana (G):524 km;Rodoviário (A):9,4 km/l;Rodoviário (G):12,8 km/l;Urbano (A):6,5 km/l;Urbano (G):9,2 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Faróis com acendimento automático;Luz no porta-luvas;Luz no porta-malas;Rodas de liga leve;Troca de marchas no volante;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Câmera traseira para manobras;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Repetidores laterais das luzes de direção;Travamento central das portas
Audi,A3 Sedan,2020,A3 Sedan Performance 2.0 TFSI S-tronic,"FIPE 06/23:R$ 203.553,00;Ano:2020;Combustível:Gasolina;Configuração:Sedã;Garantia:2 anos;Geração:1;Lugares:5;Plataforma:MQB;Portas:4;Porte:Médio;Procedência:Nacional;Propulsão:Combustão;Série:8V;Aceleração 0-100 km/h:6,9 s;Velocidade máxima:250 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta e indireta;Aspiração:Turbocompressor;Cilindrada:1984 cm³;Cilindros:4 em linha;Código do motor:EA888;Comando de válvulas:Duplo no cabeçote;Curso do pistão:92,8 mm;Diâmetro do cilindro:82,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:6,0 kg/cv;Peso/torque:37,0 kg/kgfm;Potência específica:110,9 cv/litro;Potência máxima:220 cv;Razão de compressão:9,6:1;Regime potência máx.:4500 rpm;Regime torque máx.:1500 rpm;Torque específico:18,0 kgfm/litro;Torque máximo:35,7 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Embreagem dupla banhada a óleo;Câmbio:Automatizado;Código do câmbio:DQ250;Marchas:6;Tração:Dianteira;Altura:1416 mm;Bitola dianteira:1555 mm;Bitola traseira:1526 mm;Carga útil:550 kg;Comprimento:4456 mm;Distância entre-eixos:2637 mm;Largura:1796 mm;Peso:1320 kg;Porta-malas:425 litros;Tanque de combustível:50 litros;Altura do flanco:101 mm;Dianteiros:225/45 R17;Traseiros:225/45 R17;Área frontal (A):2,12 m²;Área frontal corrigida:0,636 m²;Coef. de arrasto (Cx):0,3;Assistência:Elétrica;Diâmetro de giro:10,9 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):640 km;Urbana (G):515 km;Rodoviário (G):12,8 km/l;Urbano (G):10,3 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Assist. de estacionamento semiautom.;Assistente de estacionamento semiautomático;Auto Hold;Banco do motorista com ajuste de altura;Banco do motorista com ajuste elétrico;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Capô sustentado por mola a gás;Chave presencial;Comando interno da tampa do tanque;Comando interno do bocal de abastec.;Comando interno do porta-malas;Controle automático de velocidade;Controle de largada;Controle de velocidade adaptativo;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Destravamento remoto do porta-malas;Direção assistida;Faróis com acendimento automático;Freio de estacionamento elétrico;Limpador de para-brisa automático;Luz de teto traseira;Luz no porta-luvas;Luz no porta-malas;Recuperação de energia cinética;Retrovisor interno fotocrômico;Retrovisores rebativeis eletricamente;Roda-livre;Rodas de liga leve;Saída de ar para o banco traseiro;Sistema start-stop;Teto panorâmico;Teto solar elétrico;Troca de marchas no volante;Zonas de ar-condicionado: 2;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;DVD player;Espelhamento da tela do celular;HD interno;Indicador de temperatura externa;Leitor de cartão de memória;Navegador GPS;Rádio;Termômetro da água do motor;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Alerta de colisão frontal;Alerta de mudança de faixa;Assistente de farol alto;Assistente de partida em rampa;Câmera traseira para manobras;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de neblina;Faróis de xenônio;Freios ABS;Frenagem automática de emergência;ISOFIX para fixação de cadeira infantil;Luz traseira de neblina;Luzes de condução diurna;Repetidores laterais das luzes de direção;Sensores de estacionamento dianteiro;Sensores de estacionamento traseiro;Travamento central das portas
Ford,Ranger,2003,Ranger XLT 2.8 8v 135cv 4x4 CD TB Diesel,"Ano:2003;Combustível:Diesel;Configuração:Picape;Garantia:2 anos;Geração:1;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:13,5 s;Velocidade máxima:160 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada:2784 cm³;Cilindros:4 em linha;Código do motor:International HS 2.8;Comando de válvulas:Único no cabeçote;Curso do pistão:102,5 mm;Diâmetro do cilindro:93 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:14,8 kg/cv;Peso/torque:52,4 kg/kgfm;Potência:135 cv;Potência específica:48,5 cv/litro;Razão de compressão:19,5:1;Rotação potência máx.:3800 rpm;Rotação torque máx.:1400 rpm;Torque:38,2 kgfm;Torque específico:13,7 kgfm/litro;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Integral temporária;Altura:1779 mm;Ângulo de entrada:34 graus;Ângulo de saída:23 graus;Bitola dianteira:1486 mm;Bitola traseira:1455 mm;Caçamba:844 litros;Carga útil:1020 kg;Comprimento:5125 mm;Distância entre-eixos:3192 mm;Inclinação lateral máx.:45 graus;Largura:1763 mm;Peso:2000 kg;Tanque de combustível:75 litros;Travessia de água:800 mm;Vão livre do solo:359 mm;Altura do flanco:176 mm;Dianteiros:235/75 R15;Estepe:235/75 R15;Traseiros:235/75 R15;Assistência:Hidráulica;Diâmetro de giro:13,2 m;Dianteira:Indep., braços sobrepostos;Elemento elástico:Feixe de molas semielípticas;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (D):825 km;Urbana (D):608 km;Rodoviário (D):11 km/l;Urbano (D):8,1 km/l",
Audi,Q7,2011,Q7 3.0 V6 TFSI Quat.Tip.5p/ Perf.(Híb.),"FIPE 07/22:R$ 91.309,00;Ano:2011;Combustível:Gasolina;Configuração:SUV;Garantia:1 ano;Geração:1;Lugares:7;Plataforma:PL71;Portas:4;Porte:Grande;Procedência:Importado;Aceleração 0-100 km/h:6,9 s;Velocidade máxima:243 km/h;Acoplamento:Conversor de torque;Câmbio:Automático;Quantidade de marchas:8;Tração:Integral permanente;Alimentação:Injeção direta e indireta multiponto;Aspiração:Compressor;Cilindrada:2995 cm³;Cilindros:6 em V;Código do motor:EA837;Comando de válvulas:Duplo no cabeçote, corrente;Curso do pistão:89 mm;Diâmetro do cilindro:84,5 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:6,7 kg/cv;Peso/torque:49,9 kg/kgfm;Potência específica:111,2 cv/litro;Potência máxima:333 cv a 5500 rpm;Razão de compressão:10,3:1;Rotação máxima:6500 rpm;Torque específico:15,0 kgfm/litro;Torque máximo:44,9 kgfm a 2900 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Altura:1737 mm;Ângulo central:21,1 graus;Ângulo de entrada:21 graus;Ângulo de saída:23,4 graus;Bitola dianteira:1651 mm;Bitola traseira:1681 mm;Carga útil:725 kg;Comprimento:5089 mm;Distância entre-eixos:3002 mm;Largura:1983 mm;Peso:2240 kg;Porta-malas com 5 lugares:500 litros;Porta-malas com 7 lugares:330 litros;Reboque com freio:3500 kg;Reboque sem freio:750 kg;Tanque de combustível:100 litros;Vão livre do solo:205 mm;Altura do flanco:124 mm;Dianteiros:275/45 R20;Traseiros:275/45 R20;Área frontal (A):2,93 m²;Área frontal corrigida:0,996 m²;Coeficiente de arrasto (Cx):0,34;Assistência:Hidráulica;Diâmetro mínimo de giro:12 m;Dianteira:Independente, braços sobrepostos;Elemento elástico:Mola helicoidal;Traseira:Independente, braços sobrepostos;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):910 km;Urbana (G):580 km;Rodoviário (G):9,1 km/l;Urbano (G):5,8 km/l",
Fiat,Idea,2012,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,"Ano:2012;Combustível:Flex;Configuração:Minivan;Garantia:1 ano;Lugares:5;Plataforma:178;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:10,8 s;Velocidade máxima:180 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Automatizado;Código do câmbio:C510;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1747 cm³;Cilindros:4 em linha;Código do motor:E.torQ;Comando de válvulas:Único no cabeçote, corrente;Curso do pistão:85,8 mm;Diâmetro do cilindro:80,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,1 kg/cv;Peso/torque:70,4 kg/kgfm;Potência específica:75,6 cv/litro;Potência máxima:132 cv (A) 130 cv (G) a 5250 rpm;Razão de compressão:11,2:1;Torque específico:10,8 kgfm/litro;Torque máximo:18,9 kgfm (A) 18,4 kgfm (G) a 4500 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Altura:1814 mm;Bitola dianteira:1469 mm;Bitola traseira:1451 mm;Carga útil:400 kg;Comprimento:4207 mm;Distância entre-eixos:2511 mm;Largura:1753 mm;Peso:1330 kg;Porta-malas:380 litros;Tanque de combustível:48 litros;Vão livre do solo:185 mm;Altura do flanco:144 mm;Dianteiros:205/70 R15;Traseiros:205/70 R15;Assistência:Hidráulica;Diâmetro mínimo de giro:10,5 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):322 km;Rodoviária (G):475 km;Urbana (A):283 km;Urbana (G):422 km;Rodoviário (A):6,7 km/l;Rodoviário (G):9,9 km/l;Urbano (A):5,9 km/l;Urbano (G):8,8 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Faróis com acendimento automático;Limpador de para-brisa automático;Luz no porta-luvas;Luz no porta-malas;Retrovisor interno fotocrômico;Rodas de liga leve;Teto solar elétrico;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Termômetro da água do motor;Airbags frontais;Airbags laterais;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;Limpador e lavador do vidro traseiro;Repetidores laterais das luzes de direção;Travamento central das portas
BMW,550i,2009,550iA 4.8 32V,"FIPE 06/23:R$ 172.562,00;Ano:2009;Combustível:Gasolina;Configuração:Sedã;Garantia:2 anos;Geração:5;Lugares:5;Portas:4;Porte:Grande;Procedência:Importado;Série:E60;Aceleração 0-100 km/h:5,3 s;Velocidade máxima:250 km/h;Acoplamento:Conversor de torque;Câmbio:Automático;Quantidade de marchas:6;Tração:Traseira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:4799 cm³;Cilindros:8 em V;Código do motor:N62B48;Comando de válvulas:Duplo no cabeçote;Curso do pistão:88,3 mm;Diâmetro do cilindro:93 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:4,7 kg/cv;Peso/torque:34,7 kg/kgfm;Potência específica:76,5 cv/litro;Potência máxima:367 cv a 6300 rpm;Razão de compressão:10,5:1;Rotação máxima:6500 rpm;Torque específico:10,4 kgfm/litro;Torque máximo:50 kgfm a 3400 rpm;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Altura:1468 mm;Bitola dianteira:1558 mm;Bitola traseira:1581 mm;Carga útil:560 kg;Comprimento:4841 mm;Distância entre-eixos:2888 mm;Largura:1846 mm;Peso:1735 kg;Porta-malas:520 litros;Tanque de combustível:70 litros;Altura do flanco:113 mm;Dianteiros:225/50 R17;Traseiros:225/50 R17;Área frontal (A):2,3 m²;Área frontal corrigida:0,621 m²;Coeficiente de arrasto (Cx):0,27;Assistência:Hidráulica;Diâmetro mínimo de giro:11,4 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Independente, multibraço;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):497 km;Urbana (G):259 km;Rodoviário (G):7,1 km/l;Urbano (G):3,7 km/l",
Ford,Ranger,2010,Ranger XL 3.0 PSE 163cv 4x4 CD TB Diesel,"Ano:2010;Combustível:Diesel;Configuração:Picape;Garantia:2 anos;Geração:1;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:12,9 s;Velocidade máxima:170 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada:2068 cm³;Cilindros:4 em linha;Código do motor:International NGD 3.0E;Comando de válvulas:Duplo no cabeçote;Curso do pistão:102,5 mm;Diâmetro do cilindro:96 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:12,0 kg/cv;Peso/torque:50,6 kg/kgfm;Potência específica:54,9 cv/litro;Potência máxima:163 cv;Razão de compressão:17:1;Regime potência máx.:3800 rpm;Regime torque máx.:1600 rpm;Torque específico:13,0 kgfm/litro;Torque máximo:38,7 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Integral temporária;Altura:1765 mm;Altura mínima do solo:318 mm;Ângulo de entrada:34 graus;Ângulo de saída:29 graus;Bitola dianteira:1486 mm;Bitola traseira:1455 mm;Caçamba:844 litros;Carga útil:1097 kg;Comprimento:5204 mm;Distância entre-eixos:3192 mm;Largura:1763 mm;Peso:1960 kg;Tanque de combustível:75 litros;Altura do flanco:172 mm;Dianteiros:245/70 R16;Estepe:245/70 R16;Traseiros:245/70 R16;Assistência:Hidráulica;Diâmetro de giro:13,2 m;Dianteira:Indep., braços sobrepostos;Elemento elástico:Feixe de molas semielípticas;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (D):975 km;Urbana (D):675 km;Rodoviário (D):13 km/l;Urbano (D):9 km/l",
Fiat,Punto,2014,Punto ESSENCE Dualogic 1.6 Flex 16V 5p,"FIPE 06/23:R$ 38.908,00;Ano:2014;Combustível:Flex;Configuração:Hatch;Garantia:1 ano;Lugares:5;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:10,3 s;Velocidade máxima:184 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Automatizado;Código do câmbio:C510;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1598 cm³;Cilindros:4 em linha;Código do motor:E.torQ;Comando de válvulas:Único no cabeçote, corrente;Curso do pistão:85,8 mm;Diâmetro do cilindro:77 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,4 kg/cv;Peso/torque:72,4 kg/kgfm;Potência específica:73,2 cv/litro;Potência máxima:117 cv (A) 115 cv (G) a 5500 rpm;Razão de compressão:10,5:1;Torque específico:10,5 kgfm/litro;Torque máximo:16,8 kgfm (A) 16,2 kgfm (G) a 4500 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Altura:1493 mm;Bitola dianteira:1471 mm;Bitola traseira:1467 mm;Carga útil:400 kg;Comprimento:4065 mm;Distância entre-eixos:2510 mm;Largura:1687 mm;Peso:1217 kg;Porta-malas:280 litros;Tanque de combustível:60 litros;Vão livre do solo:149 mm;Altura do flanco:117 mm;Dianteiros:195/60 R15;Estepe:195/60 R15;Traseiros:195/60 R15;Área frontal (A):2,14 m²;Área frontal corrigida:0,728 m²;Coeficiente de arrasto (Cx):0,34;Assistência:Hidráulica;Diâmetro mínimo de giro:10,9 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):486 km;Rodoviária (G):714 km;Urbana (A):414 km;Urbana (G):606 km;Rodoviário (A):8,1 km/l;Rodoviário (G):11,9 km/l;Urbano (A):6,9 km/l;Urbano (G):10,1 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Câmbio automático;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Limpador de para-brisa automático;Luz no porta-luvas;Luz no porta-malas;Retrovisor interno fotocrômico;Rodas de liga leve;Teto panorâmico;Teto solar elétrico;Troca de marchas no volante;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis de neblina;Freios ABS;Limpador e lavador do vidro traseiro;Travamento central das portas
Ford,Mondeo,1999,Mondeo CLX 2.0i 4p Mec,"FIPE 06/23:R$ 9.624,00;Ano:1999;Combustível:Gasolina;Configuração:Sedã;Garantia:2 anos;Geração:1;Lugares:5;Plataforma:CDW27;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:11 s;Velocidade máxima:204 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1989 cm³;Cilindros:4 em linha;Código do motor:Zetec;Comando de válvulas:Duplo no cabeçote;Curso do pistão:88 mm;Diâmetro do cilindro:84,8 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,0 kg/cv;Peso/torque:72,3 kg/kgfm;Potência específica:65,4 cv/litro;Potência máxima:130 cv;Razão de compressão:9,5:1;Regime potência máx.:5700 rpm;Regime torque máx.:3700 rpm;Torque específico:9,0 kgfm/litro;Torque máximo:17,9 kgfm;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:MTX-75;Marchas:5;Tração:Dianteira;Altura:1372 mm;Comprimento:4556 mm;Distância entre-eixos:2704 mm;Largura:1749 mm;Peso:1295 kg;Porta-malas:470 litros;Tanque de combustível:61 litros;Altura do flanco:117 mm;Dianteiros:195/60 R15;Traseiros:195/60 R15;Assistência:Hidráulica;Diâmetro de giro:Não informado;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., McPherson;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):634 km;Urbana (G):409 km;Rodoviário (G):10,4 km/l;Urbano (G):6,7 km/l",
